ROI_Type,Y,X
Bleach,231,227
Bleach,231,228
Bleach,231,229
Bleach,231,230
Bleach,231,231
Bleach,231,232
Bleach,231,233
Bleach,231,234
Bleach,231,235
Bleach,231,236
Bleach,232,226
Bleach,232,227
Bleach,232,228
Bleach,232,229
Bleach,232,230
Bleach,232,231
Bleach,232,232
Bleach,232,233
Bleach,232,234
Bleach,232,235
Bleach,232,236
Bleach,232,237
Bleach,233,227
Bleach,233,228
Bleach,233,229
Bleach,233,230
Bleach,233,231
Bleach,233,232
Bleach,233,233
Bleach,233,234
Bleach,233,235
Bleach,233,236
Bleach,233,237
Bleach,233,238
Bleach,234,228
Bleach,234,229
Bleach,234,230
Bleach,234,231
Bleach,234,232
Bleach,234,233
Bleach,234,234
Bleach,234,235
Bleach,234,236
Bleach,234,237
Bleach,234,238
Bleach,234,239
Bleach,235,229
Bleach,235,230
Bleach,235,231
Bleach,235,232
Bleach,235,233
Bleach,235,234
Bleach,235,235
Bleach,235,236
Bleach,235,237
Bleach,235,238
Bleach,235,239
Bleach,235,240
Bleach,236,230
Bleach,236,231
Bleach,236,232
Bleach,236,233
Bleach,236,234
Bleach,236,235
Bleach,236,236
Bleach,236,237
Bleach,236,238
Bleach,236,239
Bleach,236,240
Bleach,236,241
Bleach,237,229
Bleach,237,230
Bleach,237,231
Bleach,237,232
Bleach,237,233
Bleach,237,234
Bleach,237,235
Bleach,237,236
Bleach,237,237
Bleach,237,238
Bleach,237,239
Bleach,237,240
Bleach,237,241
Bleach,238,230
Bleach,238,231
Bleach,238,232
Bleach,238,233
Bleach,238,234
Bleach,238,235
Bleach,238,236
Bleach,238,237
Bleach,238,238
Bleach,238,239
Bleach,238,240
Bleach,238,241
Bleach,239,229
Bleach,239,230
Bleach,239,231
Bleach,239,232
Bleach,239,233
Bleach,239,234
Bleach,239,235
Bleach,239,236
Bleach,239,237
Bleach,239,238
Bleach,239,239
Bleach,239,240
Bleach,240,230
Bleach,240,231
Bleach,240,232
Bleach,240,233
Bleach,240,234
Bleach,240,235
Bleach,240,236
Bleach,240,237
Bleach,240,238
Bleach,240,239
Bleach,241,231
Bleach,241,232
Bleach,241,233
Bleach,241,234
Bleach,241,235
Bleach,241,236
Bleach,241,237
Bleach,241,238
Bleach,241,239
Bleach,242,232
