ROI_Type,Y,X
Bleach,121,185
Bleach,121,186
Bleach,121,187
Bleach,121,188
Bleach,121,189
Bleach,121,190
Bleach,121,191
Bleach,121,192
Bleach,121,193
Bleach,121,194
Bleach,121,195
Bleach,121,196
Bleach,121,197
Bleach,121,198
Bleach,121,199
Bleach,121,200
Bleach,121,201
Bleach,121,202
Bleach,121,203
Bleach,121,204
Bleach,121,205
Bleach,121,206
Bleach,121,207
Bleach,121,208
Bleach,121,209
Bleach,121,210
Bleach,121,211
Bleach,121,212
Bleach,121,213
Bleach,121,214
Bleach,121,215
Bleach,121,216
Bleach,121,217
Bleach,121,218
Bleach,121,219
Bleach,121,220
Bleach,121,221
Bleach,121,222
Bleach,121,223
Bleach,121,224
Bleach,121,225
Bleach,121,226
Bleach,121,227
Bleach,121,228
Bleach,121,229
Bleach,121,230
Bleach,122,166
Bleach,122,167
Bleach,122,168
Bleach,122,169
Bleach,122,171
Bleach,122,173
Bleach,122,174
Bleach,122,182
Bleach,122,183
Bleach,122,184
Bleach,122,185
Bleach,122,186
Bleach,122,187
Bleach,122,188
Bleach,122,189
Bleach,122,190
Bleach,122,191
Bleach,122,192
Bleach,122,193
Bleach,122,194
Bleach,122,195
Bleach,122,196
Bleach,122,197
Bleach,122,198
Bleach,122,199
Bleach,122,200
Bleach,122,201
Bleach,122,202
Bleach,122,203
Bleach,122,204
Bleach,122,205
Bleach,122,206
Bleach,122,207
Bleach,122,208
Bleach,122,209
Bleach,122,210
Bleach,122,211
Bleach,122,212
Bleach,122,213
Bleach,122,214
Bleach,122,215
Bleach,122,216
Bleach,122,217
Bleach,122,218
Bleach,122,219
Bleach,122,220
Bleach,122,221
Bleach,122,222
Bleach,122,223
Bleach,122,224
Bleach,122,225
Bleach,122,226
Bleach,122,227
Bleach,122,228
Bleach,122,229
Bleach,123,166
Bleach,123,167
Bleach,123,168
Bleach,123,183
Bleach,123,184
Bleach,123,185
Bleach,123,186
Bleach,123,187
Bleach,123,188
Bleach,123,189
Bleach,123,190
Bleach,123,191
Bleach,123,192
Bleach,123,193
Bleach,123,194
Bleach,123,195
Bleach,123,196
Bleach,123,197
Bleach,123,198
Bleach,123,199
Bleach,123,200
Bleach,123,201
Bleach,123,202
Bleach,123,203
Bleach,123,204
Bleach,123,205
Bleach,123,206
Bleach,123,207
Bleach,123,208
Bleach,123,209
Bleach,123,210
